ActivityID;ActivityArea;ActivityParent;ActivityLevel;ActivityName_[ENG];ActivityName_[HRV];ActivityName_[BIH];ActivityName_[SRB];ActivityName_[SVN]
370;E;37;3;Sewerage;Uklanjanje otpadnih voda;Uklanjanje otpadnih voda;Uklanjanje otpadnih voda;Ravnanje z odplakami
381;E;38;3;Waste collection;Skupljanje otpada;Sakupljanje otpada;Skupljanje otpada;Zbiranje in odvoz odpadkov
382;E;38;3;Waste treatment and disposal;Obrada i zbrinjavanje otpada;Obrada i zbrinjavanje otpada;Tretman i odlaganje otpada;Ravnanje z odpadki
383;E;38;3;Materials recovery;Oporaba materijala;Reciklaža materijala;Ponovna upotreba materijala;Pridobivanje sekundarnih surovin
390;E;39;3;Remediation activities and other waste management services;Djelatnosti sanacije okoliša te ostale djelatnosti gospodarenja otpadom;Djelatnosti sanacije okoliša te ostale djelatnosti upravljanja otpadom;Sanacija, rekultivacija i duge usluge u oblasti upravljanja otpadom;Saniranje okolja in drugo ravnanje z odpadki
411;F;41;3;Development of building projects;Organizacija izvedbe projekata za zgrade;Organizacija izvoðenja graðevinskih projekata;Razrada graðevinskih projekata;Organizacija izvedbe stavbnih projektov
412;F;41;3;Construction of residential and non-residential buildings;Gradnja stambenih i nestambenih zgrada;Gradnja stambenih i nestambenih zgrada;Izgradnja stambenih i nestambenih zgrada;Gradnja stanovanjskih in nestanovanjskih stavb
421;F;42;3;Construction of roads and railways;Gradnja cesta i željeznièkih pruga;Gradnja cesta i željeznièkih pruga;Izgradnja puteva i železnièkih pruga;Gradnja cest in železnic
422;F;42;3;Construction of utility projects;Gradnja cjevovoda, vodova za elektriènu struju i telekomunikacije;Gradnja  cjevovoda,  vodova  za  elektriènu  struju  i telekomunikacije;Izgradnja cevovoda, elektriènih i komunikacionih vodova;Gradnja objektov oskrbne infrastrukture
429;F;42;3;Construction of other civil engineering projects;Gradnja ostalih graðevina niskogradnje;Gradnja ostalih graðevina niskogradnje;Izgradnja ostalih graðevina;Gradnja drugih inženirskih objektov
431;F;43;3;Demolition and site preparation;Uklanjanje graðevina i pripremni radovi na gradilištu;Uklanjanje graðevina i pripremni radovi na gradilištu;Rušenje i pripremanje gradilišta;Pripravljalna dela na gradbišèu
432;F;43;3;Electrical, plumbing and other construction installation activities;Elektroinstalacijski radovi, uvoðenje inst. vodovoda, kanalizacije i plina...;Elektroinstalacijski  radovi,  uvoðenje instalacija  vodovoda, kanalizacije i plina i ostali graðevinski instalacijski radovi;Instalacioni radovi u graðevinarstvu;Inštaliranje pri gradnjah
433;F;43;3;Building completion and finishing;Završni graðevinski radovi;Završni graðevinski radovi;Završni graðevinsko-zanatski radovi;Zakljuèna gradbena dela
439;F;43;3;Other specialised construction activities;Ostale specijalizirane graðevinske djelatnosti;Ostale specijalizirane graðevinske djelatnosti;Ostali specifièni graðevinski radovi;Krovstvo in druga specializirana gradbena dela
451;G;45;3;Sale of motor vehicles;Trgovina motornim vozilima;Trgovina motornim vozilima;Trgovina motornim vozilima;Trgovina z motornimi vozili
452;G;45;3;Maintenance and repair of motor vehicles;Održavanje i popravak motornih vozila;Održavanje i popravak motornih vozila;Održavanje i popravka motornih vozila;Vzdrževanje in popravila motornih vozil
453;G;45;3;Sale of motor vehicle parts and accessories;Trgovina dijelovima i priborom za motorna vozila;Trgovina dijelovima i priborom za motorna vozila;Trgovina delovima i priborom za motorna vozila;Trgovina z rezervnimi deli in opremo za motorna vozila
454;G;45;3;Sale, maintenance and repair of motorcycles and related parts and accessories;Trgovina motociklima, dijelovima i priborom za motocikle te održavanje i popravak...;Trgovina motociklima, dijelovima i priborom za motocikle te održavanje i popravak motocikala;Trgovina motociklima, delovima i priborom, održavanje i popravka motocikala;Trgovina, vzdrževanje in popravila motornih koles, trgovina z njihovimi deli in opremo
461;G;46;3;Wholesale on a fee or contract basis;Trgovina na veliko uz naplatu ili na osnovi ugovora;Trgovina na veliko uz naknadu ili na osnovu ugovora;Trgovina na veliko za naknadu;Posredništvo
462;G;46;3;Wholesale of agricultural raw materials and live animals;Trgovina na veliko poljoprivrednim sirovinama i živom stokom;Trgovina na veliko poljoprivrednim sirovinama i živim životinjama;Trgovina na veliko poljoprivrednim sirovinama i životinjama;Trgovina na debelo s kmetijskimi surovinami in živimi živalmi
463;G;46;3;Wholesale of food, beverages and tobacco;Trgovina na veliko hranom, piæima i duhanom;Trgovina na veliko hranom, piæima i duhanskim proizvodima;Trgovina na veliko hranom, piæima i duvanom;Trgovina na debelo z živili, pijaèami, tobaènimi izdelki
464;G;46;3;Wholesale of household goods;Trgovina na veliko proizvodima za kuæanstvo;Trgovina na veliko proizvodima za domaæinstvo;Trgovina na veliko predmetima za domaæinstvo;Trgovina na debelo z izdelki za široko rabo
465;G;46;3;Wholesale of information and communication equipment;Trgovina na veliko informacijsko-komunikacijskom opremom;Trgovina na veliko informacijsko-komunikacijskom opremom;Trgovina na veliko informaciono-komunikacionom opremom;Trgovina na debelo z napravami za informacijsko-komunikacijsko tehnologijo
466;G;46;3;Wholesale of other machinery, equipment and supplies;Trgovina na veliko ostalim strojevima, opremom i priborom;Trgovina na veliko ostalim mašinima, opremom i priborom;Trgovina na veliko ostalim mašinama, opremom i priborom;Trgovina na debelo s stroji, napravami, opremo
467;G;46;3;Other specialised wholesale;Ostala specijalizirana trgovina na veliko;Ostala specijalizirana trgovina na veliko;Ostala specijalizovana trgovina na veliko;Druga specializirana trgovina na debelo
469;G;46;3;Non-specialised wholesale trade;Nespecijalizirana trgovina na veliko;Nespecijalizirana trgovina na veliko;Nespecijalizovana trgovina na veliko;Nespecializirana trgovina na debelo
471;G;47;3;Retail sale in non-specialised stores;Trgovina na malo u nespecijaliziranim prodavaonicama ;Trgovina na malo u nespecijaliziranim prodavnicama;Trgovina na malo u nespecijalizovanim prodavnicama;Trgovina na drobno v nespecializiranih prodajalnah
472;G;47;3;Retail sale of food, beverages and tobacco in specialised stores;Trgovina na malo hranom, piæima i duhanskim proizvodima u specijaliziranim prod.;Trgovina na malo hranom, piæima i duhanskim proizvodima u specijaliziranim prodavnicama;Trgovina na malo hranom, piæima i duvanom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z živili, pijaèami in tobaènimi izdelki
473;G;47;3;Retail sale of automotive fuel in specialised stores;Trgovina na malo motornim gorivima i mazivima u specijaliziranim prodavaonicama;Trgovina  na  malo  motornim  gorivima  u  specijaliziranim prodavnicama;Trgovina na malo motornim gorivima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z motornimi gorivi
474;G;47;3;Retail sale of information and communication equipment in specialised stores;Trgovina na malo informacijsko-komunikacijskom opremom u specijaliziranim prodav.;Trgovina na malo informacijsko-komunikacijskom opremom u specijaliziranim prodavnicama;Trgovina na malo informaciono-komunikacionom opremom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z raèunalniškimi, komunikacijskimi, avdio in video napravami
475;G;47;3;Retail sale of other household equipment in specialised stores;Trgovina na malo ostalom opremom za kuæanstvo u specijaliziranim prodavaonicama;Trgovina na malo ostalom opremom za domaæinstvo u specijaliziranim prodavnicama;Trgovina na malo ostalom opremom za domaæinstvo u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z drugo gospodinjsko opremo
476;G;47;3;Retail sale of cultural and recreation goods in specialised stores;Trgovina na malo proizvodima za kulturu i rekreaciju u specijaliziranim prodav.;Trgovina na malo proizvodima za kulturu i rekreaciju u specijaliziranim prodavnicama;Trgovina na malo predmetima za kulturu i rekreaciju u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z izdelki za kulturo, šport in zabavo
477;G;47;3;Retail sale of other goods in specialised stores;Trgovina na malo ostalom robom u specijaliziranim prodavaonicama;Trgovina  na  malo  ostalom  robom  u  specijaliziranim prodavnicama;Trgovina na malo ostalom robom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z drugimi izdelki
478;G;47;3;Retail sale via stalls and markets;Trgovina na malo na štandovima i tržnicama;Trgovina na malo na štandovima i tržnicama;Trgovina na malo na tezgama i pijacama;Trgovina na drobno na stojnicah in tržnicah
479;G;47;3;Retail trade not in stores, stalls or markets;Trgovina na malo izvan prodavaonica, štandova i tržnica;Trgovina na malo izvan prodavnica, štandova i tržnica;Trgovina na malo van prodavnica, tezgi i pijaca;Trgovina na drobno zunaj prodajaln, stojnic in tržnic
491;H;49;3;Passenger rail transport, interurban;Željeznièki prijevoz putnika, meðugradski;Željeznièki prijevoz putnika, meðugradski;Železnièki prevoz putnika, daljinski i regionalni;Železniški potniški promet
492;H;49;3;Freight rail transport;Željeznièki prijevoz robe;Željeznièki prijevoz robe;Železnièki prevoz tereta;Železniški tovorni promet
493;H;49;3;Other passenger land transport;Ostali kopneni prijevoz putnika;Ostali kopneni prijevoz putnika;Ostali kopneni prevoz putnika;Drug kopenski potniški promet
494;H;49;3;Freight transport by road and removal services;Cestovni prijevoz robe i usluge preseljenja;Cestovni prijevoz robe i usluge preseljenja;Drumski prevoz tereta i usluge preseljenja;Cestni tovorni promet ter selitvena dejavnost
495;H;49;3;Transport via pipeline;Cjevovodni transport;Cjevovodni transport;Cevovodni transport;Cevovodni transport
501;H;50;3;Sea and coastal passenger water transport;Pomorski i obalni prijevoz putnika;Pomorski i priobalni prijevoz putnika;Pomorski i priobalni prevoz putnika;Pomorski potniški promet
502;H;50;3;Sea and coastal freight water transport;Pomorski i obalni prijevoz robe;Pomorski i priobalni prijevoz robe;Pomorski i priobalni prevoz tereta;Pomorski tovorni promet
503;H;50;3;Inland passenger water transport;Prijevoz putnika unutrašnjim vodenim putovima;Prijevoz putnika unutrašnjim vodenim putevima;Prevoz putnika unutrašnjim plovnim putevima;Potniški promet po celinskih vodah
504;H;50;3;Inland freight water transport;Prijevoz robe unutrašnjim vodenim putovima;Prijevoz robe unutrašnjim vodenim putevima;Prevoz tereta unutrašnjim plovnim putevima;Tovorni promet po celinskih vodah
511;H;51;3;Passenger air transport;Zraèni prijevoz putnika;Zraèni prijevoz putnika;Vazdušni prevoz putnika;Potniški zraèni promet
512;H;51;3;Freight air transport and space transport;Zraèni prijevoz robe i svemirski prijevoz;Zraèni prijevoz robe i svemirski prijevoz;Vazdušni prevoz tereta i vasionski saobraæaj;Tovorni zraèni in vesoljski promet
521;H;52;3;Warehousing and storage;Skladištenje robe;Skladištenje robe;Skladištenje;Skladišèenje
522;H;52;3;Support activities for transportation;Prateæe djelatnosti u prijevozu;Pomoæne djelatnosti u prijevozu;Prateæe aktivnosti u saobraæaju;Spremljajoèe prometne dejavnosti
531;H;53;3;Postal activities under universal service obligation;Djelatnosti pružanja univerzalnih poštanskih usluga;Djelatnosti pružanja univerzalnih poštanskih usluga;Poštanske aktivnosti javnog servisa;Izvajanje univerzalne poštne storitve
532;H;53;3;Other postal and courier activities;Djelatnosti pružanja ostalih poštanskih i kurirskih usluga;Djelatnosti pružanja ostalih poštanskih i kurirskih usluga;Poštanske aktivnosti komercijalnog servisa;Druga poštna in kurirska dejavnost
551;I;55;3;Hotels and similar accommodation;Hoteli i slièan smještaj;Hoteli i slièan smještaj;Hoteli i slièan smeštaj;Dejavnost hotelov in podobnih nastanitvenih obratov
552;I;55;3;Holiday and other short-stay accommodation;Odmarališta i slièni objekti za kraæi odmor;Odmarališta i slièni objekti za kraæi odmor;Odmarališta i slièni objekti za kraæi boravak;Dejavnost poèitniških domov in podobnih nastanitvenih obratov za kratkotrajno bivanje
553;I;55;3;Camping grounds, recreational vehicle parks and trailer parks;Kampovi i prostori za kampiranje;Kampovi i prostori za kampiranje;Delatnost kampova, auto-kampova i kampova za turistièke prikolice;Dejavnost avtokampov, taborov
559;I;55;3;Other accommodation;Ostali smještaj;Ostali smještaj;Ostali smeštaj;Dejavnost dijaških in študentskih domov ter druge nastanitve
561;I;56;3;Restaurants and mobile food service activities;Djelatnosti restorana i ostalih objekata za pripremu i usluživanje hrane;Djelatnosti restorana i ostalih objekata za pripremu i usluživanje hrane;Delatnosti restorana i pokretnih ugostiteljskih objekta;Dejavnost restavracij in druga strežba jedi
562;I;56;3;Event catering and other food service activities;Djelatnosti keteringa i ostale djelatnosti pripreme i usluživanja hrane;Djelatnosti  keteringa  i  ostale  djelatnosti  pripreme  i usluživanja hrane;Ketering i ostale usluge pripremanja i posluživanja hrane;Priložnostna priprava in dostava jedi ter druga oskrba z jedmi
563;I;56;3;Beverage serving activities;Djelatnosti pripreme i usluživanja piæa;Djelatnosti pripreme i usluživanja piæa;Usluge pripremanja i posluživanja piæa;Strežba pijaè
581;J;58;3;Publishing of books, periodicals and other publishing activities;Izdavanje knjiga, periodiènih publikacija i ostale izdavaèke djelatnosti;Izdavanje knjiga, periodiènih publikacija i ostale izdavaèke djelatnosti;Izdavanje knjiga, èasopisa i druge izdavaèke delatnosti;Izdajanje knjig, periodike in drugo založništvo
582;J;58;3;Software publishing;Izdavanje softvera;Izdavanje softvera;Izdavanje softvera;Izdajanje programja
591;J;59;3;Motion picture, video and television programme activities;Proizvodnja i distribucija filmova, videofilmova i televizijskog programa;Proizvodnja i distribucija filmova, videofilmova i televizijskog programa;Kinematografska i televizijska produkcija;Filmska in video dejavnost
592;J;59;3;Sound recording and music publishing activities;Djelatnosti snimanja zvuènih zapisa i izdavanja glazbenih zapisa;Djelatnosti snimanja zvuènih zapisa i izdavanja muzièkih zapisa;Snimanje i izdavanje zvuènih zapisa i muzike;Snemanje in izdajanje zvoènih zapisov in muzikalij
601;J;60;3;Radio broadcasting;Emitiranje radijskog programa;Emitiranje radijskog programa;Emitovanje radio-programa;Radijska dejavnost
602;J;60;3;Television programming and broadcasting activities;Emitiranje televizijskog programa;Emitiranje televizijskog programa;Proizvodnja i emitovanje televizijskog programa;Televizijska dejavnost
611;J;61;3;Wired telecommunications activities;Djelatnosti žièane telekomunikacije;Djelatnosti žièane telekomunikacije;Kablovske telekomunikacije;Telekomunikacijske dejavnosti po vodih
612;J;61;3;Wireless telecommunications activities;Djelatnosti bežiène telekomunikacije;Djelatnosti bežiène telekomunikacije;Bežiène telekomunikacije;Brezžiène telekomunikacijske dejavnosti
613;J;61;3;Satellite telecommunications activities;Djelatnosti satelitske telekomunikacije;Djelatnosti satelitske telekomunikacije;Satelitske telekomunikacije;Satelitske telekomunikacijske dejavnosti
619;J;61;3;Other telecommunications activities;Ostale telekomunikacijske djelatnosti;Ostale telekomunikacijske djelatnosti;Ostale telekomunikacione delatnosti;Druge telekomunikacijske dejavnosti
620;J;62;3;Computer programming, consultancy and related activities;Raèunalno programiranje, savjetovanje i djelatnosti povezane s njima;Raèunarsko programiranje, savjetovanje i djelatnosti u vezi s njima;Raèunarsko programiranje, konsultantske i s tim povezane delatnosti;Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti
631;J;63;3;"Data processing, hosting and related activities; web portals";"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima; internetski portali";"Obrada podataka, usluge hostinga i djelatnosti u vezi s njima; internetski portali";"Obrada podataka, hosting i s tim povezane delatnosti; veb portali";Obdelava podatkov in s tem povezane dejavnosti, obratovanje spletnih portalov
639;J;63;3;Other information service activities;Ostale informacijske uslužne djelatnosti;Ostale informacijske uslužne djelatnosti;Ostale informacione uslužne delatnosti;Dejavnosti tiskovnih agencij, drugo informiranje
641;K;64;3;Monetary intermediation;Novèarsko posredovanje;Novèarsko posredovanje;Monetarno posredovanje;Denarno posredništvo
642;K;64;3;Activities of holding companies;Djelatnosti holding-društava;Djelatnosti finansijskih holding-društava;Delatnost holding kompanija;Dejavnost holdingov
643;K;64;3;Trusts, funds and similar financial entities;Uzajamni fondovi (trustovi), ostali fondovi i slièni financijski subjekti;Trustovi, ostali fondovi i slièni finansijski subjekti;Poverenièki fondovi (trastovi), investicioni fondovi i slièni finansijski entiteti;Dejavnost skrbniških in drugih skladov ter podobnih finanènih subjektov
649;K;64;3;Other financial service activities, except insurance and pension funding;Ostale financijske uslužne djelatnosti, osim osiguranja i mirovinskih fondova;Ostale  finansijske uslužne  djelatnosti,  osim  osiguranja  i penzijskih fondova;Ostale finansijske usluge, osim osiguranja i penzijskih fondova;Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov
651;K;65;3;Insurance;Osiguranje;Osiguranje;Osiguranje;Dejavnost zavarovanja
652;K;65;3;Reinsurance;Reosiguranje;Reosiguranje;Reosiguranje;Dejavnost pozavarovanja
653;K;65;3;Pension funding;Mirovinski fondovi;Penzijski fondovi;Penzijski fondovi;Dejavnost pokojninskih skladov
661;K;66;3;Activities auxiliary to financial services, except insurance and pension funding;Pomoæne djelatnosti kod financijskih usluga, osim osiguranja i mirovinskih fondova;Pomoæne djelatnosti kod finansijskih usluga, osim osiguranja i penzijskih fondova;Pomoæne delatnosti u pružanju finansijskih usluga, osim osiguranja i penzijskih fondova;Pomožne dejavnosti za finanène storitve, razen za zavarovalništvo in pokojninske sklade
662;K;66;3;Activities auxiliary to insurance and pension funding;Pomoæne djelatnosti u osiguranju i mirovinskim fondovima;Pomoæne djelatnosti u osiguranju i penzijskim fondovima;Pomoæne delatnosti u osiguranju i penzijskim fondovima;Pomožne dejavnosti za zavarovalništvo in pokojninske sklade
663;K;66;3;Fund management activities;Djelatnosti upravljanja fondovima;Djelatnosti upravljanja fondovima;Upravljanje fondovima;Upravljanje finanènih skladov
681;L;68;3;Buying and selling of own real estate;Kupnja i prodaja vlastitih nekretnina;Kupovina i prodaja vlastitih nekretnina;Kupovina i prodaja vlastitih nekretnina;Trgovanje z lastnimi nepremièninami
682;L;68;3;Renting and operating of own or leased real estate;Iznajmljivanje i upravljanje vlastitim nekretninama ili nekretninama uzetim u zakup;Iznajmljivanje  i  upravljanje  vlastitim  nekretninama  ili nekretninama uzetim u zakup (leasing);Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima;Oddajanje in obratovanje lastnih ali najetih nepremiènin
683;L;68;3;Real estate activities on a fee or contract basis;Poslovanje nekretninama uz naplatu ili na osnovi ugovora;Poslovanje nekretninama uz naknadu ili na osnovu ugovora;Poslovanje nekretninama za naknadu;Poslovanje z nepremièninami za plaèilo ali po pogodbi
691;M;69;3;Legal activities;Pravne djelatnosti;Pravne djelatnosti;Pravni poslovi;Pravne dejavnosti
692;M;69;3;"Accounting, bookkeeping and auditing activities; tax consultancy";"Raèunovodstvene, knjigovodstvene i revizijske djelatnosti; porezno savjetovanje";"Raèunovodstvene,  knjigovodstvene i  revizijske  djelatnosti; porezno savjetovanje";"Raèunovodstveni, knjigovodstveni i revizorski poslovi; poresko savetovanje";Raèunovodske, knjigovodske in revizijske dejavnosti, davèno svetovanje
701;M;70;3;Activities of head offices;Upravljaèke djelatnosti;Upravljaèke djelatnosti;Upravljanje ekonomskim subjektom;Dejavnost uprav podjetij
702;M;70;3;Management consultancy activities;Savjetovanje u vezi s upravljanjem;Savjetovanje u vezi s upravljanjem;Menadžerski konsultantski poslovi;Podjetniško in poslovno svetovanje
711;M;71;3;Architectural and engineering activities and related technical consultancy;Arhitektonske djelatnosti i inženjerstvo te s njima povezano tehnièko savjetovanje;Arhitektonske i inžinjerske djelatnosti i s njima povezano tehnièko savjetovanje;Arhitektonske i inženjerske delatnosti i tehnièko savetovanje;Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje
712;M;71;3;Technical testing and analysis;Tehnièko ispitivanje i analiza;Tehnièko ispitivanje i analiza;Tehnièko ispitivanje i analize;Tehnièno preizkušanje in analiziranje
721;M;72;3;Research and experimental development on natural sciences and engineering;Istraživanje i eksperimentalni razvoj u prirodnim, tehnièkim i tehnološkim znanostima;Istraživanje i eksperimentalni razvoj u prirodnim, tehnièkim i tehnološkim naukama;Istraživanje i eksperimentalni razvoj u prirodnim i tehnièko-tehnološkim naukama;Raziskovalna in razvojna dejavnost na podroèju naravoslovja in tehnologije
722;M;72;3;Research and experimental development on social sciences and humanities;Istraživanje i eksperimentalni razvoj u društvenim i humanistièkim znanostima;Istraživanje  i  eksperimentalni  razvoj  u  društvenim  i humanistièkim naukama;Istraživanje i razvoj u društvenim i humanistièkim naukama;Raziskovalna in razvojna dejavnost na podroèju družboslovja in humanistike
731;M;73;3;Advertising;Promidžba (reklama i propaganda);Promocija (reklama i propaganda);Reklamiranje;Oglaševanje
732;M;73;3;Market research and public opinion polling;Istraživanje tržišta i ispitivanje javnoga mnijenja;Istraživanje tržišta i ispitivanje javnog mnijenja;Istraživanje tržišta i ispitivanje javnog mnjenja;Raziskovanje trga in javnega mnenja
741;M;74;3;Specialised design activities;Specijalizirane dizajnerske djelatnosti;Specijalizirane dizajnerske djelatnosti;Specijalizovane dizajnerske delatnosti;Oblikovanje, aranžerstvo, dekoraterstvo
742;M;74;3;Photographic activities;Fotografske djelatnosti;Fotografske djelatnosti;Fotografske usluge;Fotografska dejavnost
743;M;74;3;Translation and interpretation activities;Prevoditeljske djelatnosti i usluge tumaèa;Prevodilaèke djelatnosti i usluge tumaèa;Prevoðenje i usluge tumaèa;Prevajanje in tolmaèenje
749;M;74;3;Other professional, scientific and technical activities n.e.c.;Ostale struène, znanstvene i tehnièke djelatnosti, d. n.;Ostale struène, nauène i tehnièke djelatnosti, d. n.;Ostale struène, nauène i tehnièke delatnosti;Drugje nerazvršèene strokovne in tehniène dejavnosti
750;M;75;3;Veterinary activities;Veterinarske djelatnosti;Veterinarske djelatnosti;Veterinarska delatnost;Veterinarstvo
771;N;77;3;Renting and leasing of motor vehicles;Iznajmljivanje i davanje u zakup (leasing) motornih vozila;Iznajmljivanje i davanje u zakup (leasing) motornih vozila;Iznajmljivanje i lizing motornih vozila;Dajanje motornih vozil v najem in zakup
772;N;77;3;Renting and leasing of personal and household goods;Iznajmljivanje i davanje u zakup (leasing) predmeta za osobnu uporabu i kuæanstvo;Iznajmljivanje i davanje u zakup (leasing) predmeta za liènu upotrebu i domaæinstvo;Iznajmljivanje i lizing predmeta za liènu upotrebu i upotrebu u domaæinstvu;Dajanje športne opreme in izdelkov za široko rabo v najem in zakup
773;N;77;3;Renting and leasing of other machinery, equipment and tangible goods;Iznajmljivanje i davanje u zakup (leasing) ostalih strojeva, opreme te mat. dobara;Iznajmljivanje i davanje u zakup (leasing) ostalih mašina, opreme te materijalnih dobara;Iznajmljivanje i lizing mašina, opreme i materijalnih dobara;Dajanje strojev, naprav in drugih opredmetenih sredstev v najem in zakup
774;N;77;3;Leasing of intellectual property and similar products, except copyrighted works;Davanje u zakup (leasing) prava na uporabu intelektualnog vlasništva i sl. proizvoda...;Davanje u zakup (leasing) prava na upotrebu intelektualnog vlasništva i sliènih proizvoda, osim radova koji su zaštiæeni autorskim pravima;Lizing intelektualne svojine i sliènih proizvoda, autorskih dela i predmeta srodnih prava;Dajanje pravic uporabe intelektualne lastnine v zakup, razen avtorsko zašèitenih del
781;N;78;3;Activities of employment placement agencies;Djelatnosti agencija za zapošljavanje;Djelatnosti agencija za zapošljavanje;Delatnost agencija za zapošljavanje;Dejavnost pri iskanju zaposlitve
782;N;78;3;Temporaryemployment agency activities;Djelatnosti agencija za privremeno zapošljavanje;Djelatnosti agencija za privremeno zapošljavanje;Delatnost agencija za privremeno zapošljavanje;Posredovanje zaèasne delovne sile
783;N;78;3;Other human resources provision;Ostalo ustupanje ljudskih resursa;Ostalo ustupanje ljudskih resursa;Ostalo ustupanje ljudskih resursa;Druga oskrba s èloveškimi viri
791;N;79;3;Travel agency and tour operator activities;Djelatnosti putnièkih agencija i organizatora putovanja (turoperatora);Djelatnosti putnièkih agencija i turoperatora;Delatnost putnièkih agencija i tur-operatora;Dejavnost potovalnih agencij in organizatorjev potovanj
799;N;79;3;Other reservation service and related activities;Ostale rezervacijske usluge i djelatnosti povezane s njima;Ostale rezervacijske usluge i djelatnosti u vezi s njima;Ostale usluge rezervacije i delatnosti povezane s njima;Rezervacije in druge s potovanji povezane dejavnosti
801;N;80;3;Private security activities;Djelatnosti privatne zaštite;Djelatnosti privatne zaštite;Delatnost privatnog obezbeðenja;Varovanje
802;N;80;3;Security systems service activities;Usluge zaštite uz pomoæ sigurnosnih sustava;Usluge zaštite uz pomoæ sigurnosnih sistema;Usluge sistema obezbeðenja;Nadzorovanje delovanja varovalnih sistemov
803;N;80;3;Investigation activities;Istražne djelatnosti;Istražne djelatnosti;Istražne delatnosti;Poizvedovalne dejavnosti
811;N;81;3;Combined facilities support activities;Upravljanje zgradama;Pomoæne djelatnosti upravljanja zgradama;Usluge održavanja objekata;Vzdrževanje objektov in hišniška dejavnost
812;N;81;3;Cleaning activities;Djelatnosti èišæenja;Djelatnosti èišæenja;Usluge èišæenja;Èišèenje
813;N;81;3;Landscape service activities;Uslužne djelatnosti ureðenja i održavanja krajolika;Uslužne djelatnosti ureðenja i održavanja zelenih površina;Usluge ureðenja i održavanja okoline;Urejanje in vzdrževanje zelenih površin in okolice
821;N;82;3;Office administrative and support activities;Uredske administrativne i pomoæne djelatnosti;Kancelarijske administrativne i pomoæne djelatnosti;Kancelarijsko-administrativne i pomoæne delatnosti;Pisarniške dejavnosti
822;N;82;3;Activities of call centres;Djelatnosti pozivnih centara;Djelatnosti pozivnih centara;Delatnost pozivnih centara;Dejavnost klicnih centrov
823;N;82;3;Organisation of conventions and trade shows;Organizacija sastanaka i poslovnih sajmova;Organizacija sastanaka i poslovnih sajmova;Organizovanje sastanaka i sajmova;Organiziranje razstav, sejmov, sreèanj
829;N;82;3;Business support service activities n.e.c.;Poslovne pomoæne uslužne djelatnosti, d. n.;Poslovne pomoæne uslužne djelatnosti, d. n.;Poslovne, pomoæne, uslužne i ostale delatnosti;Druge spremljajoèe dejavnosti za poslovanje
841;O;84;3;Administration of the State and the economic and social policy of the community;Državna uprava te ekonomska i socijalna politika zajednice;Javna uprava te ekonomska i socijalna politika zajednice;Državna uprava, ekonomska i socijalna politika;Dejavnost državne uprave ter ekonomska in socialna politika skupnosti
842;O;84;3;Provision of services to the community as a whole;Pružanje usluga zajednici kao cjelini;Pružanje usluga zajednici kao cjelini;Pomoæne aktivnosti za funkcionisanje države;Posebne dejavnosti za celotno družbeno skupnost
843;O;84;3;Compulsorysocial security activities;Djelatnosti obveznoga socijalnog osiguranja;Djelatnosti obaveznog socijalnog osiguranja;Obavezno socijalno osiguranje;Dejavnost obvezne socialne varnosti
851;P;85;3;Pre-primaryeducation;Predškolsko obrazovanje;Predškolsko obrazovanje;Predškolsko obrazovanje;Predšolska vzgoja
852;P;85;3;Primary education;Osnovno obrazovanje;Osnovno obrazovanje;Osnovno obrazovanje;Osnovnošolsko izobraževanje
853;P;85;3;Secondary education;Srednje obrazovanje;Srednje obrazovanje;Srednje obrazovanje;Srednješolsko izobraževanje
854;P;85;3;Higher education;Visoko obrazovanje;Visoko obrazovanje;Visoko obrazovanje;Posrednješolsko izobraževanje
855;P;85;3;Other education;Ostalo obrazovanje i pouèavanje;Ostalo obrazovanje i pouèavanje;Ostalo obrazovanje;Drugo izobraževanje, izpopolnjevanje in usposabljanje
856;P;85;3;Educational support activities;Pomoæne uslužne djelatnosti u obrazovanju;Pomoæne uslužne djelatnosti u obrazovanju;Pomoæne obrazovne delatnosti;Pomožne dejavnosti za izobraževanje
861;Q;86;3;Hospital activities;Djelatnosti bolnica;Djelatnosti bolnica;Delatnost bolnica;Bolnišnièna zdravstvena dejavnost
862;Q;86;3;Medical and dental practice activities;Djelatnosti medicinske i stomatološke prakse;Djelatnosti medicinske i stomatološke prakse;Medicinska i stomatološka praksa;Zunajbolnišnièna zdravstvena in zobozdravstvena dejavnost
869;Q;86;3;Other human health activities;Ostale djelatnosti zdravstvene zaštite;Ostale djelatnosti zdravstvene zaštite;Ostala zdravstvena zaštita;Druge dejavnosti za zdravje
